y,x,group,tooltip,data_id,PANEL,flipped_aes,colour,size,linetype,alpha,x_date
18,18702,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-16
20,18703,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-17
19,18704,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-18
16,18705,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-19
17,18706,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-20
17,18707,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-21
16,18708,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-22
17,18709,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-23
16,18710,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-24
17,18711,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-25
17,18712,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-26
17,18713,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-27
19,18714,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-28
19,18715,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-29
21,18716,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-30
21,18717,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-31
25,18718,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-04-01
26,18719,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-04-02
26,18720,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-04-03
26,18721,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-04-04
26,18722,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-04-05
8,18691,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-05
8,18692,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-06
8,18693,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-07
8,18694,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-08
8,18695,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-09
8,18696,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-10
8,18697,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-11
8,18698,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-12
8,18699,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-13
8,18700,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-14
8,18701,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-15
9,18702,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-16
8,18703,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-17
8,18704,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-18
8,18705,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-19
8,18706,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-20
8,18707,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-21
8,18708,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-22
8,18709,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-23
8,18710,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-24
8,18711,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-25
8,18712,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-26
8,18713,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-27
8,18714,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-28
8,18715,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-29
8,18716,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-30
8,18717,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-03-31
8,18718,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-04-01
8,18719,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-04-02
8,18720,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-04-03
8,18721,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-04-04
8,18722,6,"Sample 7, Brooklyn","Sample 7, Brooklyn",1,FALSE,black,0.5,1,,2021-04-05
3,18691,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-05
5,18692,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-06
7,18693,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-07
7,18694,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-08
7,18695,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-09
7,18696,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-10
11,18697,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-11
7,18698,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-12
6,18699,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-13
5,18700,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-14
4,18701,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-15
2,18702,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-16
